Find the boost-plus-rotation that equates to 2 perpendicular boosts.

Event:[10.0, 1.0, 1.0, 1.0]
Corner-boost transform: boost [0.97,0.0,0.0] boost [0.0,0.95,0.0]
 Event after corner-boost: [115.91503, -35.78702, -109.80703, 1.0]

Boost+rotation transform: boost [0.97,0.23095,0.0] rotation[0.0,0.0,-1.02842]
 Event after boost+rotation: [115.91503, -35.78702, -109.80703, 1.0]

Order matters. Rotation+boost isn't the same. The operations don't commute.
But there is apparently a DIFFERENT rotation+boost that is indeed the same (not implemented here).
Rotation+boost transform: rotation[0.0,0.0,-1.02842] boost [0.97,0.23095,0.0]
 Event from rotation+boost: [131.90826, -128.27952, -29.0887, 1.0]

β                    β                    Equivalent           Equivalent    θw      (v = vx + vy)         (v = vy + vx)     
X-axis               Y-axis               β                    direction                                                     
-----------------------------------------------------------------------------------------------------------------------------
0.9                  0.999                0.9998100769646204    25.820°   -61.874°   [0.9,0.43545,0.0]     [0.04024,0.999,0.0]   
0.9                  0.9999               0.9999810007695148    25.840°   -63.431°   [0.9,0.43585,0.0]     [0.01273,0.9999,0.0]  
0.9                  0.9999999895816072   0.9999999980205053    25.842°   -64.151°   [0.9,0.43589,0.0]     [1.3E-4,1.0,0.0]      
0.95                 0.1                  0.9505130193742746     1.883°    -4.157°   [0.95,0.03122,0.0]    [0.94524,0.1,0.0]     
0.95                 0.2                  0.9520504188329524     3.761°    -8.366°   [0.95,0.06245,0.0]    [0.93081,0.2,0.0]     
0.95                 0.3                  0.9546072490820505     5.632°   -12.685°   [0.95,0.09367,0.0]    [0.90624,0.3,0.0]     
0.95                 0.4                  0.9581753492967767     7.490°   -17.184°   [0.95,0.1249,0.0]     [0.87069,0.4,0.0]     
0.95                 0.5                  0.9627434756984854     9.333°   -21.956°   [0.95,0.15612,0.0]    [0.82272,0.5,0.0]     
0.95                 0.6                  0.9682974749528164    11.156°   -27.134°   [0.95,0.18735,0.0]    [0.76,0.6,0.0]        
0.95                 0.7                  0.9748204962966259    12.957°   -32.939°   [0.95,0.21857,0.0]    [0.67844,0.7,0.0]     
0.95                 0.8                  0.9822932352408826    14.732°   -39.798°   [0.95,0.2498,0.0]     [0.57,0.8,0.0]        
0.95                 0.9                  0.9906942010529788    16.479°   -48.814°   [0.95,0.28102,0.0]    [0.4141,0.9,0.0]      
0.95                 0.95                 0.9952355248884557    17.341°   -55.318°   [0.95,0.29664,0.0]    [0.29664,0.95,0.0]    
0.95                 0.96                 0.9961706681086329    17.512°   -57.000°   [0.95,0.29976,0.0]    [0.266,0.96,0.0]      
0.95                 0.97                 0.9971147125581891    17.684°   -58.924°   [0.95,0.30288,0.0]    [0.23095,0.97,0.0]    
0.95                 0.98                 0.9980676329788478    17.854°   -61.227°   [0.95,0.306,0.0]      [0.18905,0.98,0.0]    
0.95                 0.99                 0.9990294039716750    18.025°   -64.266°   [0.95,0.30913,0.0]    [0.13401,0.99,0.0]    
0.95                 0.999                0.9999025440011642    18.178°   -69.388°   [0.95,0.31194,0.0]    [0.04247,0.999,0.0]   
0.95                 0.9999               0.9999902504399729    18.193°   -71.037°   [0.95,0.31222,0.0]    [0.01343,0.9999,0.0]  
0.95                 0.9999999895816072   0.9999999989842068    18.195°   -71.797°   [0.95,0.31225,0.0]    [1.4E-4,1.0,0.0]      
0.96                 0.1                  0.9604082465285271     1.671°    -4.306°   [0.96,0.028,0.0]      [0.95519,0.1,0.0]     
0.96                 0.2                  0.9616319462247499     3.339°    -8.666°   [0.96,0.056,0.0]      [0.9406,0.2,0.0]      
0.96                 0.3                  0.9636679926198649     5.001°   -13.138°   [0.96,0.084,0.0]      [0.91578,0.3,0.0]     
0.96                 0.4                  0.9665112518744933     6.654°   -17.793°   [0.96,0.112,0.0]      [0.87985,0.4,0.0]     
0.96                 0.5                  0.9701546268507923     8.297°   -22.726°   [0.96,0.14,0.0]       [0.83138,0.5,0.0]     
0.96                 0.6                  0.9745891442038539     9.926°   -28.073°   [0.96,0.168,0.0]      [0.768,0.6,0.0]       
0.96                 0.7                  0.9798040620450601    11.539°   -34.057°   [0.96,0.196,0.0]      [0.68558,0.7,0.0]     
