Event:[10.0, 1.0, 1.0, 1.0, YES]
Dogleg transform: boost[X,0.97] boost[Y,0.95]
Dogleg:           [115.91503043007748, -35.78701803585312, -109.80702900865369, 1.0, YES]

Boost+rotation transform: rotate[Z,0.23374053585196874] boost[X,0.9971147125581891] rotate[Z,-1.028420353109959] rotate[Z,-0.23374053585196874]
Boost + rotation ev: [115.91503043007783, -35.78701803585324, -109.80702900865401, 1.0, YES]

Order matters. Rotation+boost isn't the same.
Rotation+boost transform: rotate[Z,0.23374053585196874] rotate[Z,-1.028420353109959] boost[X,0.9971147125581891] rotate[Z,-0.23374053585196874]
Rotation + boost ev: [131.90826026877232, -128.2795249003928, -29.088702591619267, 1.0, YES]

βx   βy   β-equiv            β-direction-degs  θw-degs
---------------------------------------------------------
0.8 0.96 0.9857869952479592 35.75388725443674 -41.112090439166934
0.8 0.97 0.9893048064171123 36.03588940458802 -42.62669534221567
0.8 0.98 0.9928464130972121 36.31588642394517 -44.45718990011791
0.8 0.99 0.9964115615547623 36.59388639107606 -46.90282074249026
0.8 0.999 0.9996401152414803 36.84238576951593 -51.10707513499113
0.8 0.9999 0.9999640011520414 36.86714734941883 -52.48460394302407
0.8 0.9999999895816072 0.9999999962493786 36.86989735931764 -53.12348614577299
0.9 0.1 0.9010549372818508 2.772794578996421 -3.5990758268516116
0.9 0.2 0.9042123644365853 5.532661791824808 -7.246097667599418
0.9 0.3 0.9094503834734471 8.267032280521034 -10.993826372219617
0.9 0.4 0.9167333309092672 10.964028273602878 -14.90604706446686
0.9 0.5 0.9260129588726068 13.612751358542523 -19.067432588850195
0.9 0.6 0.9372299611087985 16.203508580859676 -23.602062511405514
0.9 0.7 0.9503157370053387 18.727967933496846 -28.71439027234981
0.9 0.8 0.9651942809610924 21.179241464767937 -34.801408545405614
0.9 0.9 0.9817840903172143 23.55190056582541 -42.89619886834918
0.9 0.95 0.9906942010529788 24.707442678297014 -48.81351333659045
0.9 0.96 0.9925240551241062 24.93603541779512 -50.35566068252212
0.9 0.97 0.9943696495770574 25.163783214690035 -52.125228585655734
0.9 0.98 0.9962308969310277 25.390683588081902 -54.252642695974544
0.9 0.99 0.9981077096185561 25.616734181815676 -57.07536842566804
0.9 0.999 0.9998100769646203 25.81945130669291 -61.873953703385624
0.9 0.9999 0.9999810007695147 25.839685001845712 -63.431043467477835
0.9 0.9999999895816072 0.9999999980205053 25.841932528990966 -64.1506239142448
0.95 0.1 0.9505130193742745 1.8825434729277948 -4.156511592662818
0.95 0.2 0.9520504188329524 3.761031081109505 -8.365593788625818
0.95 0.3 0.9546072490820505 5.631459145500884 -12.68501138946766
0.95 0.4 0.9581753492967766 7.489926691129195 -17.184411334802565
0.95 0.5 0.9627434756984853 9.332682729364032 -21.955920755352874
0.95 0.6 0.9682974749528164 11.156168923190165 -27.133994269052906
0.95 0.7 0.9748204962966259 12.957056514486483 -32.93920767658776
0.95 0.8 0.9822932352408826 14.73227670127322 -39.79785113132673
0.95 0.9 0.9906942010529788 16.47904398511254 -48.81351333659045
0.95 0.95 0.9952355248884557 17.34096891031491 -55.31806217937018
0.95 0.96 0.9961706681086329 17.51239999532363 -57.00043415885526
0.95 0.97 0.9971147125581891 17.683507996001406 -58.92414579855447
0.95 0.98 0.9980676329788478 17.854290781415436 -61.22714293408712
0.95 0.99 0.999029403971675 18.024746251840394 -64.26611818815354
0.95 0.999 0.9999025440011642 18.177874610639048 -69.38753637331146
0.95 0.9999 0.999990250439973 18.193172715061166 -71.03704541623515
0.95 0.9999999895816072 0.9999999989842067 18.194872161695034 -71.79727075061444
0.96 0.1 0.9604082465285271 1.670653271399968 -4.30595266808446
0.96 0.2 0.9616319462247498 3.3384705437643527 -8.665517826584576
0.96 0.3 0.9636679926198649 5.000644597558433 -13.137582675498557
0.96 0.4 0.9665112518744932 6.654425046006597 -17.793098125849557
0.96 0.5 0.9701546268507923 8.297144969836873 -22.725830864491336
0.96 0.6 0.9745891442038538 9.926245506651707 -28.072486935852954
0.96 0.7 0.9798040620450601 11.53929786012519 -34.05708884883408
0.96 0.8 0.9857869952479592 13.134022306396325 -41.112090439166934
0.96 0.9 0.9925240551241062 14.708303899682747 -50.35566068252212
0.96 0.95 0.9961706681086329 15.48716584582111 -57.00043415885526
0.96 0.96 0.9969219829053826 15.642246457208728 -58.71550708558254
0.96 0.97 0.997680590169018 15.797092364013434 -60.67474513948957
0.96 0.98 0.998446473277361 15.951701841851946 -63.017604456273624
0.96 0.99 0.999219615500016 16.106073185375116 -66.10463354764727
0.96 0.999 0.9999216361295519 16.24480239560851 -71.2950126595591
0.96 0.9999 0.99999216036127 16.258664585684453 -72.96345156907093
0.96 0.9999999895816072 0.9999999991831979 16.26020454785719 -73.73185565826711
0.97 0.1 0.9703045913526329 1.4356670511464895 -4.479763554873663
0.97 0.2 0.9712177922587704 2.869533569453501 -9.014238585694754
0.97 0.3 0.9727378886421563 4.299812534136884 -13.663493722917842
0.97 0.4 0.9748620415217735 5.72474369602065 -18.499847026414848
0.97 0.5 0.9775863133248133 7.142606340847316 -23.618774935246908
0.97 0.6 0.9809057039287722 8.551731329645268 -29.159316346744596
0.97 0.7 0.9848141956734783 9.950512213836914 -35.34904013765894
0.97 0.8 0.9893048064171123 11.33741525319631 -42.62669534221567
0.97 0.9 0.9943696495770574 12.71098819965423 -52.125228585655734
0.97 0.95 0.9971147125581891 13.392346205444115 -58.92414579855447
0.97 0.96 0.997680590169018 13.52816249649699 -60.67474513948957
0.97 0.97 0.9982520673657531 13.663824045470728 -62.67235190905855
0.97 0.98 0.9988291345370338 13.799329598195143 -65.05793476795729
0.97 0.99 0.9994117819997921 13.934677910362861 -68.1959017842937
0.97 0.999 0.9999409278052379 14.056355930199437 -73.45786417871251
0.97 0.9999 0.9999940902780377 14.068516637679846 -75.14549757164505
0.97 0.9999999895816072 0.999999999384273 14.069867606809026 -75.92210989313017
0.98 0.1 0.9802020199938377 1.1632805579087533 -4.692210063191459
0.98 0.2 0.9808078303113205 2.325602862577711 -9.440303441448364
0.98 0.3 0.9818166835005402 3.486013388501532 -14.30560524335846
0.98 0.4 0.9832273389201502 4.643568007482132 -19.361880412949475
0.98 0.5 0.9850380703302791 5.7973365432092665 -24.706402767330296
0.98 0.6 0.9872466763681709 6.946407156631749 -30.480644202824852
0.98 0.7 0.9898504937615579 8.089890511703004 -36.91584021243135
0.98 0.8 0.9928464130972121 9.226923675936918 -44.45718990011791
0.98 0.9 0.9962308969310277 10.356673715943545 -54.252642695974544
0.98 0.95 0.9980676329788478 10.91856628449745 -61.227142934087105
0.98 0.96 0.998446473277361 11.030693701874423 -63.017604456273624
0.98 0.97 0.9988291345370338 11.142735633847565 -65.05793476795729
0.98 0.98 0.9992156123680214 11.254691322232908 -67.49061735553418
0.98 0.99 0.9996059023435185 11.366560012647517 -70.68392360788704
0.98 0.999 0.9999604190166729 11.46716683034024 -76.02145932500133
0.98 0.9999 0.99999604019016 11.477223581924962 -77.72868871340374
0.98 0.9999999895816072 0.9999999995874316 11.478340838121778 -78.51355395563232
0.99 0.1 0.9901004999493739 0.8163653919914763 -4.980383674936788
0.99 0.2 0.990401938608765 1.6323994528837302 -10.01792407191957
0.99 0.3 0.9909041325981035 2.4477716577154864 -15.175306907084627
0.99 0.4 0.9916067769030221 3.262153088904259 -20.52785358642371
0.99 0.5 0.99250944579888 4.0752172277484275 -26.174753985170238
0.99 0.6 0.9936115941352537 4.886640731458737 -32.26004596656304
0.99 0.7 0.9949125589718928 5.696104191149766 -39.018787221130715
0.99 0.8 0.9964115615547623 6.50329286643368 -46.90282074249026
0.99 0.9 0.9981077096185561 7.307897392516287 -57.07536842566804
0.99 0.95 0.999029403971675 7.70913556000606 -64.26611818815356
0.99 0.96 0.999219615500016 7.789293266977625 -66.10463354764727
0.99 0.97 0.9994117819997921 7.869420305343446 -68.1959017842937
0.99 0.98 0.9996059023435185 7.9495163794654395 -70.68392360788704
0.99 0.99 0.9998019753931275 8.029581194418045 -73.94083761116391
0.99 0.999 0.999980109752189 8.101612558108473 -79.36142064650363
0.99 0.9999 0.9999980100975202 8.10881428053189 -81.08899613255873
0.99 0.9999999895816072 0.999999999792674 8.109614372628927 -81.8821977149401
0.999 0.1 0.9990100049549053 0.25642516380818897 -5.488451820963653
0.999 0.2 0.9990400192184495 0.5128400557524283 -11.035357399742608
0.999 0.3 0.9990900409872976 0.7692344064373726 -16.704780658748977
0.999 0.4 0.9991600672564932 1.0255979514034015 -22.573603164601195
0.999 0.5 0.9992500938203609 1.2819204335907761 -28.742907986465305
0.999 0.6 0.9993601152737686 1.538191605799354 -35.35922562463023
0.999 0.7 0.9994901250137492 1.7944012331423884 -42.66125953983431
0.999 0.8 0.9996401152414803 2.0505390954929448 -51.10707513499113
0.999 0.9 0.9998100769646203 2.3065949899214773 -61.873953703385624
0.999 0.95 0.9999025440011642 2.4345890160494883 -69.38753637331146
0.999 0.96 0.9999216361295519 2.460184944832376 -71.29501265955912
0.999 0.97 0.9999409278052379 2.4857798910880415 -73.45786417871251
0.999 0.98 0.9999604190166729 2.5113738446584386 -76.02145932500133
0.999 0.99 0.999980109752189 2.536966795387892 -79.36142064650363
0.999 0.999 0.999998001997504 2.559999585223657 -84.88000082955269
0.999 0.9999 0.999999800109975 2.5623028187934227 -86.62821592770372
0.999 0.9999999895816072 0.9999999999791737 2.562558706460966 -87.42917894554152
0.9999 0.1 0.999901000049505 0.08103449214063824 -5.65870612737836
0.9999 0.2 0.9999040001920184 0.16206866009641 -11.376013243908346
0.9999 0.3 0.9999090004095373 0.2431021796902302 -17.21614079396235
0.9999 0.4 0.9999160006720565 0.3241347267605765 -23.256144425869927
0.9999 0.5 0.9999250009375703 0.4051659771692689 -29.597315188946045
0.9999 0.6 0.9999360011520738 0.4861956068092489 -36.38645241247319
0.9999 0.7 0.9999490012495638 0.5672232916123561 -43.86264507123398
0.9999 0.8 0.9999640011520414 0.6482487075571028 -52.48460394302407
0.9999 0.9 0.9999810007695147 0.7292715306764455 -63.431043467477835
0.9999 0.95 0.999990250439973 0.769781868703688 -71.03704541623515
0.9999 0.96 0.99999216036127 0.7778838452446267 -72.96345156907093
0.9999 0.97 0.9999940902780377 0.7859857906751035 -75.14549757164505
0.9999 0.98 0.99999604019016 0.7940877046712936 -77.72868871340374
0.9999 0.99 0.9999980100975202 0.8021895869093801 -81.08899613255873
0.9999 0.999 0.999999800109975 0.8094812535028504 -86.62821592770372
0.9999 0.9999 0.9999999800019997 0.8102104187238601 -88.37957916255229
0.9999 0.9999999895816072 0.9999999999979164 0.8102914286247443 -89.18143877982111
0.9999999895816072 0.1 0.9999999896857912 8.270618672877991E-4 -5.738343474793279
